original_station,replacement_station,distance_km,replacement_days_in_key_index,n_candidates_found,n_candidates_with_data,status
XF.DN3W,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlat (format exception):expected a value between -90 and 90 but received(-92.82045)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-92.82045&maxlatitude=-72.82045&minlongitude=-162.881699&maxlongitude=-142.881699&level=station
Request Submitted:
2026-09-23T21:06:53
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
YC.MATA,YC.PUDO,16.9,54.0,1781.0,783.0,OK
4P.NEL31,TA.L31A,3.6,712.0,19380.0,10753.0,OK
XB.HT12,XB.HT11,13.5,22.0,1136.0,812.0,OK
4P.IAL41,TA.L41A,16.0,705.0,10266.0,4560.0,OK
9G.AB717,9G.RC085,28.7,18.0,12988.0,6861.0,OK
4P.NDE32,TA.E32A,8.8,669.0,6310.0,3134.0,OK
ZU.OKU37,TA.U37A,7.7,613.0,13253.0,6896.0,OK
XZ.S11,YR.AYDO,21.8,337.0,181.0,168.0,OK
4P.MTG18,TA.G18A,3.7,689.0,22429.0,9199.0,OK
ZU.TXC31,ZU.REC31,0.1,12.0,19022.0,7882.0,OK
4P.MIE41,TA.E41A,36.1,638.0,6096.0,3226.0,OK
7E.KB08,AU.KIM10,53.3,710.0,262.0,153.0,OK
9G.RC030,9G.RC020,25.0,14.0,19816.0,12670.0,OK
YQ.109,YQ.108,10.7,53.0,404.0,332.0,OK
ZU.NMX25,TA.X25A,15.0,693.0,25550.0,11030.0,OK
4P.TTL24,4P.WYL24,3.4,15.0,24726.0,11924.0,OK
