rank,network,station,lat,lon,days
539,YJ,VMG01,-45.175499,-72.142502,153
540,XV,VINA,-18.176901,45.224701,363
541,7B,SD10,-32.843601,136.065704,64
542,M8,AQ41,-27.9997,118.5997,312
543,BL,PTMB,-21.4631,-57.475601,257
544,9G,SA235,52.112999,-110.266998,27
545,9G,BC410,50.82,-117.184998,37
546,XD,JYG,39.807545,98.222244,143
547,7D,KA08,-18.868,126.016121,78
548,GE,ZKR,35.1147,26.216999,1128
549,NM,EUAL,32.97143,-88.08669,110
550,AF,PWET,-8.28,28.530001,735
551,2P,OBS01,-1.3847,-14.3458,117
552,XM,1026,9.800467,38.416504,53
553,BL,TRMB,-18.092199,-44.929001,435
554,ZT,ALST0,39.272598,-70.055199,62
555,ON,PET01,-24.290108,-47.275345,2859
556,XT,RPPC2,8.9494,-66.436501,168
557,7B,SA07,-26.0327,146.781693,138
558,7B,SA01,-13.9586,143.180099,103
559,US,KNB,37.0166,-112.8224,2266
560,GE,HLG,54.1847,7.8839,1801
561,ZD,Q10,-3.7113,-102.714302,347
562,AS,KAAO,34.540699,69.042801,1426
563,YG,CBP4N,45.978298,18.12705,456
564,NJ,TORO,10.055,9.12,740
565,XW,SUYR,19.560699,57.690399,354
566,CM,PRV,13.376167,-81.3635,4058
567,PQ,KLONY,64.4525,-138.2164,1824
568,GE,RUE,52.475899,13.78,2493
569,BL,CCUB,-18.424999,-51.212002,84
570,YA,MC08,28.995899,101.511803,344
571,XW,PDG,43.327499,79.487602,906
572,4P,WIG42,45.046331,-88.246908,35
573,MH,P0024,-24.272183,-145.46665,178
574,DK,ANGG,65.616388,-37.63704,5740
575,ZL,A01,33.629501,156.598007,34
576,S1,AUAYR,-19.5774,147.4088,3964
577,S1,AUGRF,-34.2858,146.059,2816
578,XI,TAIF,21.281,40.348999,70
579,3J,OBS19,-16.28387,-173.17295,618
580,GB,HMNX,50.86733,0.33633,5367
581,XP,N116,-82.009804,112.571198,120
582,JP,JHS,35.001831,133.113663,4437
583,5A,LIHIR,-3.05528,152.611496,586
584,ZE,BULG,61.126701,-151.091202,517
585,GE,SUMG,72.5742,-38.4626,1574
586,XA,SA81,-30.925116,21.268124,503
587,XE,EE04,-8.20435,-131.2551,405
588,3H,G52,-2.3945,-91.89,450
589,RM,SZP,17.552,120.455002,3268
590,CW,GNEO,20.3274,-74.592934,179
591,YB,AT44,37.846699,34.612,367
592,1P,MAMA,-52.0337,-72.3827,341
593,YT,EAGL,-80.894402,-22.309799,439
594,MY,KUM,5.2902,100.6492,6384
595,7D,FN16A,46.799599,-125.516098,279
596,XF,MA66,18.181801,-103.006401,24
597,XL,HV10,51.572102,100.448601,661
598,XA,AX08,38.8984,46.1815,562
599,G,SEY,62.933,152.373,1062
600,ZO,A07,69.625099,-49.2952,54
601,XN,B07,59.6548,-126.950104,98
602,XO,SARI,16.709562,145.769669,353
603,ZU,101,18.84335,-157.61711,28
604,YD,3D14,44.176979,23.319521,647
605,MH,P0018,-12.273467,-132.196487,141
606,BX,KHWEE,-21.9464,25.446911,943
607,XS,I12D,-0.868283,-10.77656,373
608,7B,SC08,-22.274799,131.367203,135
609,XB,CM27,7.359,12.667,154
610,BX,PHPEN,-25.475531,22.857294,1658
611,BL,ITPB,-15.9887,-39.628201,499
612,GT,DBIC,6.67015,-4.85653,5372
613,GB,LRW,60.136,-1.17783,6770
614,1G,WA20,41.14854,106.47017,139
615,ZM,P124,-78.871803,77.656998,369
616,8Q,P17,25.826362,-141.048872,428
